Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
404,-21898.6,-14541.1,-14299
405,-21896.6,-14585.9,-14361.4
406,-21900.4,-14664.2,-14405.2
407,-21898.1,-14511.7,-14328.5
408,-21897.5,-14504.9,-14316
409,-21896.3,-14549.7,-14340.9
410,-21900.1,-14613.9,-14364.3
411,-21902.1,-14743.5,-14372.7
412,-21901,-14595.8,-14340.1
413,-21898.7,-14571,-14304.4
414,-21902.5,-14599.6,-14329.3
415,-21900,-14655.7,-14390.9
416,-21906.4,-14847,-14403.5
417,-21898.8,-14721.4,-14386.7
418,-21903.4,-14650.6,-14335.1
419,-21898.8,-14648.1,-14384.8
420,-21899.5,-14639.3,-14376.3
421,-21899.5,-14730.4,-14399.4
422,-21903.3,-14614.1,-14376
423,-21898.1,-14649.4,-14362.7
424,-21900.1,-14635.7,-14365.1
425,-21894.8,-14558.9,-14376.1
426,-21903.3,-14772.2,-14420.9
427,-21894.5,-14575,-14360.7
428,-21900.9,-14710.6,-14380.6
429,-21895.6,-14809.6,-14410.7
430,-21900.5,-14614.5,-14363.9
431,-21894.3,-14560.3,-14327.9
432,-21895,-14541,-14331.5
433,-21892.4,-14520.2,-14363.4
434,-21896.6,-14550.8,-14334.9
435,-21896.4,-14696.4,-14409.9
436,-21898.8,-14577.2,-14344.2
437,-21894.3,-14468.1,-14298.3
438,-21899.4,-14567.2,-14350.4
439,-21895.7,-14661.2,-14396.8
440,-21903.6,-14826.3,-14403.9
441,-21904.7,-14679.5,-14418.3
442,-21900.2,-14586.1,-14367
443,-21894,-14671.5,-14412.9
444,-21894.5,-14571.3,-14351.4
445,-21897.4,-14728.6,-14373.9
446,-21898.8,-14620.6,-14342.9
447,-21889.7,-14504,-14304.5
448,-21893.8,-14509.6,-14328.8
449,-21892.2,-14673.6,-14392.5
450,-21895.9,-14742.5,-14378.6
451,-21893.2,-14586.5,-14366.1
452,-21894.5,-14585.3,-14363
453,-21893.1,-14721.7,-14423.8
454,-21897.3,-14609.2,-14399.2
455,-21892.6,-14581.6,-14367.1
456,-21896.6,-14603.3,-14340.8
457,-21894.1,-14622.1,-14389
458,-21901,-14770.2,-14420.6
459,-21890.4,-14572.5,-14386.5
460,-21897.6,-14665.2,-14392.9
461,-21892.7,-14505.2,-14335.6
462,-21900.4,-14875.3,-14417.8
463,-21893.7,-14818.8,-14446.4
464,-21898.8,-14714.9,-14402.2
465,-21889.4,-14577.3,-14383.4
466,-21896.5,-14737.5,-14404
467,-21891.8,-14738.9,-14415.6
468,-21896.4,-14790.6,-14432.7
469,-21891.3,-14571.2,-14387.1
470,-21894.5,-14710.9,-14416
471,-21889.3,-14653.1,-14414.1
472,-21894.1,-14775.4,-14414.7
473,-21891.5,-14692.4,-14419.5
474,-21893.4,-14638.1,-14356.1
475,-21889.4,-14594.4,-14403.6
476,-21894.2,-14743.3,-14446.8
477,-21892.9,-14763.7,-14413.4
478,-21897,-14816.8,-14424.3
479,-21893,-14752,-14440
480,-21890.9,-14577.1,-14382.7
481,-21890.5,-14574.8,-14367.4
482,-21894.8,-14617.2,-14345.8
483,-21896.3,-14761.6,-14421.6
484,-21900.5,-14827.5,-14439.1
485,-21889.5,-14608.5,-14394
486,-21890.3,-14601.3,-14378.2
487,-21889.5,-14670.8,-14418.9
488,-21893.8,-14741,-14421
489,-21891.5,-14885.9,-14486.5
490,-21890.2,-14741.7,-14428
491,-21886.3,-14647.3,-14432.7
492,-21889.8,-14701.9,-14408.7
493,-21888.6,-14779.6,-14453.1
494,-21890.7,-14607.8,-14397.7
495,-21888.3,-14811.6,-14482.3
496,-21888.7,-14596,-14381.1
497,-21887.7,-14575.4,-14364.8
498,-21888.5,-14605.8,-14405
499,-21889.3,-14672.6,-14424.6
500,-21895.6,-14857.7,-14472.9
501,-21889,-14572.8,-14359.4
502,-21890.8,-14628.8,-14386.2
503,-21893.6,-14726.1,-14431.8
504,-21896.3,-14700.1,-14418.3
505,-21890.8,-14769.4,-14441.2
506,-21892.1,-14653.5,-14404.2
507,-21886.3,-14568.4,-14384.1
508,-21889.1,-14589.8,-14402.6
509,-21887.3,-14693.4,-14425.9
510,-21889.5,-14670.5,-14425.6
511,-21888.8,-14651.9,-14391.5
512,-21888.5,-14607.8,-14395.9
513,-21887.4,-14651.5,-14416.3
514,-21890.4,-14766.2,-14448.5
515,-21888.8,-14709.6,-14439.2
